tatort	tatort_cleaned	tatort_coding	lat	lon
Länglingsweg 72	Länglingsweg 72	Länglingsweg 72, Moers, Deutschland	51.42583	6.66035
Länglingsweg ggü. Haus-Nr. 40	Länglingsweg 40	Länglingsweg 40, Moers, Deutschland	51.426	6.65648
Länglingsweg in Höhe von Haus-Nr. 102	Länglingsweg 102	Länglingsweg 102, Moers, Deutschland	51.42586	6.66352
Länglingsweg in Höhe von Haus-Nr. 15	Länglingsweg 15	Länglingsweg 15, Moers, Deutschland	51.42611	6.65372
Länglingsweg in Höhe von Haus-Nr. 18	Länglingsweg 18	Länglingsweg 18, Moers, Deutschland	51.42596	6.65422
Länglingsweg in Höhe von Haus-Nr. 37	Länglingsweg 37	Länglingsweg 37, Moers, Deutschland	51.42633	6.65583
Länglingsweg in Höhe von Haus-Nr. 38	Länglingsweg 38	Länglingsweg 38, Moers, Deutschland	51.42601	6.65624
Länglingsweg in Höhe von Haus-Nr. 39	Länglingsweg 39	Länglingsweg 39, Moers, Deutschland	51.42635	6.65594
Länglingsweg in Höhe von Haus-Nr. 3b	Länglingsweg 3b	Länglingsweg 3b, Moers, Deutschland	51.42589	6.65264
Länglingsweg in Höhe von Haus-Nr. 40	Länglingsweg 40	Länglingsweg 40, Moers, Deutschland	51.426	6.65648
Länglingsweg in Höhe von Haus-Nr. 41c	Länglingsweg 41c	Länglingsweg 41c, Moers, Deutschland	51.42626	6.65636
Länglingsweg in Höhe von Haus-Nr. 42	Länglingsweg 42	Länglingsweg 42, Moers, Deutschland	51.426	6.65664
Länglingsweg in Höhe von Haus-Nr. 43	Länglingsweg 43	Länglingsweg 43, Moers, Deutschland	51.42627	6.65658
Länglingsweg in Höhe von Haus-Nr. 45	Länglingsweg 45	Länglingsweg 45, Moers, Deutschland	51.42641	6.65681
Länglingsweg in Höhe von Haus-Nr. 45a	Länglingsweg 45a	Länglingsweg 45a, Moers, Deutschland	51.4263	6.65682
Länglingsweg in Höhe von Haus-Nr. 47	Länglingsweg 47	Länglingsweg 47, Moers, Deutschland	51.42623	6.65702
Länglingsweg in Höhe von Haus-Nr. 73	Länglingsweg 73	Länglingsweg 73, Moers, Deutschland	51.42615	6.65927
Länglingsweg in Höhe von Haus-Nr., Blumengeschäft	Länglingsweg, Blumengeschäft	Länglingsweg, Blumengeschäft, Moers, Deutschland	51.42591	6.65881
Länglingsweg in Höhe von Haus-Nr., Sparkasse	Länglingsweg, Sparkasse	Länglingsweg, Sparkasse, Moers, Deutschland	51.42591	6.65881
Länglingsweg zwischen Haus-Nr. 50-56	Länglingsweg zwischen Haus-Nr. 50-56	Länglingsweg zwischen Haus-Nr. 50-56, Moers, Deutschland	51.42597	6.65783
Länglingsweg, hinten linke seite	Länglingsweg, hinten linke seite	Länglingsweg, hinten linke seite, Moers, Deutschland	51.42591	6.65881
Länglingsweg, Höhe Wiese Bengel	Länglingsweg, Höhe Wiese Bengel	Länglingsweg, Höhe Wiese Bengel, Moers, Deutschland	51.4248	6.59548
Länglingsweg, Sparkasse	Länglingsweg, Sparkasse	Länglingsweg, Sparkasse, Moers, Deutschland	51.42591	6.65881
Lärchenweg 15a	Lärchenweg 15a	Lärchenweg 15a, Moers, Deutschland	51.39708	6.62478
Lärchenweg 18a	Lärchenweg 18a	Lärchenweg 18a, Moers, Deutschland	51.39757	6.62459
Lärchenweg 24	Lärchenweg 24	Lärchenweg 24, Moers, Deutschland	51.39828	6.62483
Lärchenweg 29	Lärchenweg 29	Lärchenweg 29, Moers, Deutschland	51.39849	6.62523
Lärchenweg 2c	Lärchenweg 2c	Lärchenweg 2c, Moers, Deutschland	51.39591	6.62401
Lärchenweg 4b	Lärchenweg 4b	Lärchenweg 4b, Moers, Deutschland	51.39613	6.62406
Lärchenweg 4c	Lärchenweg 4c	Lärchenweg 4c, Moers, Deutschland	51.3962	6.6241
Lärchenweg 9a	Lärchenweg 9a	Lärchenweg 9a, Moers, Deutschland	51.39666	6.62461
Lärchenweg ggü. Haus-Nr. 4a	Lärchenweg 4a	Lärchenweg 4a, Moers, Deutschland	51.39607	6.62404
Lärchenweg ggü. Haus-Nr. 4b	Lärchenweg 4b	Lärchenweg 4b, Moers, Deutschland	51.39613	6.62406
Lärchenweg ggü. Haus-Nr. 6b	Lärchenweg 6b	Lärchenweg 6b, Moers, Deutschland	51.39651	6.6242
Lärchenweg in Höhe von Haus-Nr. 9b	Lärchenweg 9b	Lärchenweg 9b, Moers, Deutschland	51.3967	6.62463
Latenweg 2, Giebel	Latenweg 2, Giebel	Latenweg 2, Giebel, Moers, Deutschland	51.48642	6.61498
Latenweg 3	Latenweg 3	Latenweg 3, Moers, Deutschland	51.4865	6.61463
Latenweg 7	Latenweg 7	Latenweg 7, Moers, Deutschland	51.48659	6.61461
Latenweg ggü. Haus-Nr. 11	Latenweg 11	Latenweg 11, Moers, Deutschland	51.48668	6.6146
Latenweg ggü. Haus-Nr. 3, Ecke Wedenhofstr.	Latenweg 3, Ecke Wedenhofstr.	Latenweg 3, Ecke Wedenhofstr., Moers, Deutschland	51.4865	6.61463
Latenweg neben Haus-Nr. 2, Giebel	Latenweg 2, Giebel	Latenweg 2, Giebel, Moers, Deutschland	51.48642	6.61498
Latenweg, Ecke Wedenhofstr.	Latenweg, Ecke Wedenhofstr.	Latenweg, Ecke Wedenhofstr., Moers, Deutschland	51.48653	6.61489
Lauersforter Straße 2	Lauersforter Straße 2	Lauersforter Straße 2, Moers, Deutschland	51.41029	6.60061
Lauersforter Straße 2, Sportplatz	Lauersforter Straße 2, Sportplatz	Lauersforter Straße 2, Sportplatz, Moers, Deutschland	51.41029	6.60061
Lauersforter Straße ggü. Haus-Nr. 2, Geg.Sportplatz	Lauersforter Straße 2, Geg.Sportplatz	Lauersforter Straße 2, Geg.Sportplatz, Moers, Deutschland	51.41029	6.60061
Lauersforter Straße ggü. Haus-Nr., Geg.Sportplatz	Lauersforter Straße, Geg.Sportplatz	Lauersforter Straße, Geg.Sportplatz, Moers, Deutschland	51.41134	6.60143
Lauersforter Straße ggü. Haus-Nr., Sportplatz	Lauersforter Straße, Sportplatz	Lauersforter Straße, Sportplatz, Moers, Deutschland	51.41134	6.60143
Lauersforter Straße in Höhe von Haus-Nr., Sportplatz	Lauersforter Straße, Sportplatz	Lauersforter Straße, Sportplatz, Moers, Deutschland	51.41134	6.60143
Lauersforter Straße, hinter Unterführung	Lauersforter Straße, hinter Unterführung	Lauersforter Straße, hinter Unterführung, Moers, Deutschland	51.41134	6.60143
Lauersforter Straße, UNTERFÜHRUNG	Lauersforter Straße, UNTERFÜHRUNG	Lauersforter Straße, UNTERFÜHRUNG, Moers, Deutschland	51.41134	6.60143
Lauffstraße 22	Lauffstraße 22	Lauffstraße 22, Moers, Deutschland	51.48728	6.58985
Lauffstraße hinter Haus-Nr. 28, Ecke Freiligrathstr.	Lauffstraße  28, Ecke Freiligrathstr.	Lauffstraße  28, Ecke Freiligrathstr., Moers, Deutschland	51.4869	6.59021
Lehmbruckstraße 1, Giebel	Lehmbruckstraße 1, Giebel	Lehmbruckstraße 1, Giebel, Moers, Deutschland	51.42417	6.656
Leibnizstraße ggü. Haus-Nr., Sparkasse	Leibnizstraße, Sparkasse	Leibnizstraße, Sparkasse, Moers, Deutschland	51.44064	6.63061
Leipziger Platz ggü. Haus-Nr., Grosshandel	Leipziger Platz, Grosshandel	Leipziger Platz, Grosshandel, Moers, Deutschland	50.82452	12.54195
Leipziger Platz in Höhe von Haus-Nr., SPARKASSE	Leipziger Platz, SPARKASSE	Leipziger Platz, SPARKASSE, Moers, Deutschland	51.06756	9.61393
Leipziger Platz, Pol.Lebensmittelgeschäft	Leipziger Platz, Pol.Lebensmittelgeschäft	Leipziger Platz, Pol.Lebensmittelgeschäft, Moers, Deutschland	50.82452	12.54195
Leipziger Platz, SPARKASSE	Leipziger Platz, SPARKASSE	Leipziger Platz, SPARKASSE, Moers, Deutschland	51.06756	9.61393
Leipziger Straße 3-5, Grand SB Markt	Leipziger Straße 3-5, Grand SB Markt	Leipziger Straße 3-5, Grand SB Markt, Moers, Deutschland	51.06422	9.60773
Leipziger Straße ggü. Haus-Nr. 2	Leipziger Straße 2	Leipziger Straße 2, Moers, Deutschland	51.44045	6.64391
Leipziger Straße ggü. Haus-Nr. 3-5, Sparkasse	Leipziger Straße 3-5, Sparkasse	Leipziger Straße 3-5, Sparkasse, Moers, Deutschland	51.44107	6.64385
Leipziger Straße in Höhe von Haus-Nr. 12	Leipziger Straße 12	Leipziger Straße 12, Moers, Deutschland	51.43975	6.64443
Leipziger Straße in Höhe von Haus-Nr. 63, Sparkasse	Leipziger Straße 63, Sparkasse	Leipziger Straße 63, Sparkasse, Moers, Deutschland	51.43975	6.64443
Leipziger Straße in Höhe von Haus-Nr., Sparkasse	Leipziger Straße, Sparkasse	Leipziger Straße, Sparkasse, Moers, Deutschland	51.43975	6.64443
Leipziger Straße, Sparkasse	Leipziger Straße, Sparkasse	Leipziger Straße, Sparkasse, Moers, Deutschland	51.43975	6.64443
Leissstraße ggü. Haus-Nr. 10	Leissstraße 10	Leissstraße 10, Moers, Deutschland	51.46016	6.64362
Leissstraße ggü. Haus-Nr. 10, Ecke Jahnstr.	Leissstraße 10, Ecke Jahnstr.	Leissstraße 10, Ecke Jahnstr., Moers, Deutschland	51.46016	6.64362
Leissstraße ggü. Haus-Nr. 2	Leissstraße 2	Leissstraße 2, Moers, Deutschland	51.46008	6.64304
Leissstraße in Höhe von Haus-Nr. 1, Ecke Donaustr.	Leissstraße 1, Ecke Donaustr.	Leissstraße 1, Ecke Donaustr., Moers, Deutschland	51.45244	6.6457
Leissstraße in Höhe von Haus-Nr. 7	Leissstraße 7	Leissstraße 7, Moers, Deutschland	51.46028	6.64344
Leissstraße in Höhe von Haus-Nr. 9	Leissstraße 9	Leissstraße 9, Moers, Deutschland	51.46011	6.64334
Leissstraße, Ecke Jahnstr.	Leissstraße, Ecke Jahnstr.	Leissstraße, Ecke Jahnstr., Moers, Deutschland	51.46011	6.64334
Lerschstraße 13	Lerschstraße 13	Lerschstraße 13, Moers, Deutschland	51.48842	6.59701
Lerschstraße 56, Allgemeines Wohngebiet	Lerschstraße 56, Allgemeines Wohngebiet	Lerschstraße 56, Allgemeines Wohngebiet, Moers, Deutschland	51.48734	6.59688
Lerschstraße 62	Lerschstraße 62	Lerschstraße 62, Moers, Deutschland	51.48697	6.59686
Lerschstraße 66	Lerschstraße 66	Lerschstraße 66, Moers, Deutschland	51.48663	6.59709
Lerschstraße 70	Lerschstraße 70	Lerschstraße 70, Moers, Deutschland	51.48621	6.59735
Lerschstraße 74	Lerschstraße 74	Lerschstraße 74, Moers, Deutschland	51.48583	6.59757
Lerschstraße 79	Lerschstraße 79	Lerschstraße 79, Moers, Deutschland	51.48556	6.59825
Lerschstraße 80	Lerschstraße 80	Lerschstraße 80, Moers, Deutschland	51.48534	6.59791
Lerschstraße 81	Lerschstraße 81	Lerschstraße 81, Moers, Deutschland	51.48533	6.59836
Lerschstraße 82	Lerschstraße 82	Lerschstraße 82, Moers, Deutschland	51.48511	6.59813
Lerschstraße ggü. Haus-Nr. 50	Lerschstraße 50	Lerschstraße 50, Moers, Deutschland	51.48767	6.59679
Lerschstraße ggü. Haus-Nr. 72	Lerschstraße 72	Lerschstraße 72, Moers, Deutschland	51.48608	6.59739
Lerschstraße hinter Haus-Nr. 98, Ecke Stormstr.	Lerschstraße  98, Ecke Stormstr.	Lerschstraße  98, Ecke Stormstr., Moers, Deutschland	51.48394	6.59966
Lerschstraße in Höhe von Haus-Nr. 23	Lerschstraße 23	Lerschstraße 23, Moers, Deutschland	51.48713	6.59747
Lerschstraße in Höhe von Haus-Nr. 54	Lerschstraße 54	Lerschstraße 54, Moers, Deutschland	51.48749	6.59684
Lerschstraße in Höhe von Haus-Nr. 71	Lerschstraße 71	Lerschstraße 71, Moers, Deutschland	51.48636	6.59777
Lerschstraße in Höhe von Haus-Nr. 80	Lerschstraße 80	Lerschstraße 80, Moers, Deutschland	51.48534	6.59791
Lerschstraße in Höhe von Haus-Nr. 85	Lerschstraße 85	Lerschstraße 85, Moers, Deutschland	51.48512	6.59858
Lerschstraße zwischen Haus-Nr. 87	Lerschstraße zwischen Haus-Nr. 87	Lerschstraße zwischen Haus-Nr. 87, Moers, Deutschland	51.48494	6.59882
Lessingstraße in Höhe von Haus-Nr. 26	Lessingstraße 26	Lessingstraße 26, Moers, Deutschland	51.48779	6.63694
Leuschnerstraße 35	Leuschnerstraße 35	Leuschnerstraße 35, Moers, Deutschland	51.48894	6.60213
Leuschnerstraße ggü. Haus-Nr. 23	Leuschnerstraße 23	Leuschnerstraße 23, Moers, Deutschland	51.48916	6.59996
Leuschnerstraße ggü. Haus-Nr. 34	Leuschnerstraße 34	Leuschnerstraße 34, Moers, Deutschland	51.48865	6.60261
Leuschnerstraße in Höhe von Haus-Nr. 37	Leuschnerstraße 37	Leuschnerstraße 37, Moers, Deutschland	51.48895	6.60226
Leuschnerstraße, HEIERMANNSWEG	Leuschnerstraße, HEIERMANNSWEG	Leuschnerstraße, HEIERMANNSWEG, Moers, Deutschland	51.48954	6.59986
Liebigstraße ggü. Haus-Nr. 15	Liebigstraße 15	Liebigstraße 15, Moers, Deutschland	51.44386	6.62962
Liebigstraße ggü. Haus-Nr. 22, Wendehammer	Liebigstraße 22, Wendehammer	Liebigstraße 22, Wendehammer, Moers, Deutschland	51.44401	6.63068
Liebigstraße in Höhe von Haus-Nr. 22-26	Liebigstraße 22-26	Liebigstraße 22-26, Moers, Deutschland	51.44401	6.63068
Liebigstraße neben Haus-Nr. 22, Wendehammer	Liebigstraße 22, Wendehammer	Liebigstraße 22, Wendehammer, Moers, Deutschland	51.44401	6.63068
Liebigstraße, Wendehammer	Liebigstraße, Wendehammer	Liebigstraße, Wendehammer, Moers, Deutschland	51.44349	6.62965
Liebrechtstraße 152	Liebrechtstraße 152	Liebrechtstraße 152, Moers, Deutschland	51.47988	6.62301
Liebrechtstraße 67	Liebrechtstraße 67	Liebrechtstraße 67, Moers, Deutschland	51.46917	6.62333
Liebrechtstraße 69	Liebrechtstraße 69	Liebrechtstraße 69, Moers, Deutschland	51.46933	6.62317
Liebrechtstraße 83	Liebrechtstraße 83	Liebrechtstraße 83, Moers, Deutschland	51.47035	6.62135
Liebrechtstraße ggü. Haus-Nr. 69	Liebrechtstraße 69	Liebrechtstraße 69, Moers, Deutschland	51.46933	6.62317
Liebrechtstraße in Höhe von Haus-Nr. 44	Liebrechtstraße 44	Liebrechtstraße 44, Moers, Deutschland	51.4677	6.62498
Lindenstraße	Lindenstraße	Lindenstraße, Moers, Deutschland	51.46014	6.64523
Lindenstraße 106	Lindenstraße 106	Lindenstraße 106, Moers, Deutschland	51.46231	6.64384
Lindenstraße 108	Lindenstraße 108	Lindenstraße 108, Moers, Deutschland	51.46236	6.6438
Lindenstraße 114	Lindenstraße 114	Lindenstraße 114, Moers, Deutschland	51.46271	6.6435
Lindenstraße 116	Lindenstraße 116	Lindenstraße 116, Moers, Deutschland	51.4628	6.64327
Lindenstraße 62	Lindenstraße 62	Lindenstraße 62, Moers, Deutschland	51.46064	6.64491
Lindenstraße 62/64	Lindenstraße 62/64	Lindenstraße 62/64, Moers, Deutschland	51.46064	6.64491
Lindenstraße 76	Lindenstraße 76	Lindenstraße 76, Moers, Deutschland	51.46117	6.64445
Lindenstraße 88	Lindenstraße 88	Lindenstraße 88, Moers, Deutschland	51.46165	6.64426
Lindenstraße 90	Lindenstraße 90	Lindenstraße 90, Moers, Deutschland	51.4617	6.64423
Lindenstraße 92	Lindenstraße 92	Lindenstraße 92, Moers, Deutschland	51.46181	6.64416
Lindenstraße 96	Lindenstraße 96	Lindenstraße 96, Moers, Deutschland	51.46191	6.64409
Lindenstraße ggü. Haus-Nr. 100	Lindenstraße 100	Lindenstraße 100, Moers, Deutschland	51.46208	6.64398
Lindenstraße ggü. Haus-Nr. 100, Parkplatz	Lindenstraße 100, Parkplatz	Lindenstraße 100, Parkplatz, Moers, Deutschland	51.46208	6.64398
Lindenstraße ggü. Haus-Nr. 100, Parkplatz Markt	Lindenstraße 100, Parkplatz Markt	Lindenstraße 100, Parkplatz Markt, Moers, Deutschland	51.46208	6.64398
Lindenstraße ggü. Haus-Nr. 101	Lindenstraße 101	Lindenstraße 101, Moers, Deutschland	51.46014	6.64523
Lindenstraße ggü. Haus-Nr. 102	Lindenstraße 102	Lindenstraße 102, Moers, Deutschland	51.46214	6.64394
Lindenstraße ggü. Haus-Nr. 102, Parkplatz	Lindenstraße 102, Parkplatz	Lindenstraße 102, Parkplatz, Moers, Deutschland	51.46214	6.64394
Lindenstraße ggü. Haus-Nr. 102, Parkplatz Markt	Lindenstraße 102, Parkplatz Markt	Lindenstraße 102, Parkplatz Markt, Moers, Deutschland	51.46214	6.64394
Lindenstraße ggü. Haus-Nr. 104	Lindenstraße 104	Lindenstraße 104, Moers, Deutschland	51.46219	6.64391
Lindenstraße ggü. Haus-Nr. 104, Parkplatz Markt	Lindenstraße 104, Parkplatz Markt	Lindenstraße 104, Parkplatz Markt, Moers, Deutschland	51.46219	6.64391
Lindenstraße ggü. Haus-Nr. 106, Parkplatz	Lindenstraße 106, Parkplatz	Lindenstraße 106, Parkplatz, Moers, Deutschland	51.46231	6.64384
Lindenstraße ggü. Haus-Nr. 108	Lindenstraße 108	Lindenstraße 108, Moers, Deutschland	51.46236	6.6438
Lindenstraße ggü. Haus-Nr. 112	Lindenstraße 112	Lindenstraße 112, Moers, Deutschland	51.46263	6.64361
Lindenstraße ggü. Haus-Nr. 112, Parkplatz	Lindenstraße 112, Parkplatz	Lindenstraße 112, Parkplatz, Moers, Deutschland	51.46263	6.64361
Lindenstraße ggü. Haus-Nr. 114	Lindenstraße 114	Lindenstraße 114, Moers, Deutschland	51.46271	6.6435
Lindenstraße ggü. Haus-Nr. 31m	Lindenstraße 31m	Lindenstraße 31m, Moers, Deutschland	51.45876	6.64596
Lindenstraße ggü. Haus-Nr. 33	Lindenstraße 33	Lindenstraße 33, Moers, Deutschland	51.45889	6.64593
Lindenstraße ggü. Haus-Nr. 39m	Lindenstraße 39m	Lindenstraße 39m, Moers, Deutschland	51.45919	6.64589
Lindenstraße ggü. Haus-Nr. 45	Lindenstraße 45	Lindenstraße 45, Moers, Deutschland	51.45962	6.64576
Lindenstraße ggü. Haus-Nr. 7	Lindenstraße 7	Lindenstraße 7, Moers, Deutschland	51.45652	6.64638
Lindenstraße ggü. Haus-Nr. 72	Lindenstraße 72	Lindenstraße 72, Moers, Deutschland	51.46102	6.64461
Lindenstraße ggü. Haus-Nr. 92	Lindenstraße 92	Lindenstraße 92, Moers, Deutschland	51.46181	6.64416
Lindenstraße ggü. Haus-Nr. 94	Lindenstraße 94	Lindenstraße 94, Moers, Deutschland	51.46186	6.64412
Lindenstraße ggü. Haus-Nr. 98	Lindenstraße 98	Lindenstraße 98, Moers, Deutschland	51.46197	6.64405
Lindenstraße ggü. Haus-Nr., Parkplatz	Lindenstraße, Parkplatz	Lindenstraße, Parkplatz, Moers, Deutschland	51.46014	6.64523
Lindenstraße ggü. Haus-Nr., Parkplatz Markt	Lindenstraße, Parkplatz Markt	Lindenstraße, Parkplatz Markt, Moers, Deutschland	51.47138	6.62688
Lindenstraße hinter Haus-Nr. 46, Ecke Zwickauerstr.	Lindenstraße  46, Ecke Zwickauerstr.	Lindenstraße  46, Ecke Zwickauerstr., Moers, Deutschland	51.46009	6.64527
Lindenstraße in Höhe von Haus-Nr. 108	Lindenstraße 108	Lindenstraße 108, Moers, Deutschland	51.46236	6.6438
Lindenstraße in Höhe von Haus-Nr. 11	Lindenstraße 11	Lindenstraße 11, Moers, Deutschland	51.45677	6.64631
Lindenstraße in Höhe von Haus-Nr. 112	Lindenstraße 112	Lindenstraße 112, Moers, Deutschland	51.46263	6.64361
Lindenstraße in Höhe von Haus-Nr. 114, Apotheke	Lindenstraße 114, Apotheke	Lindenstraße 114, Apotheke, Moers, Deutschland	51.46271	6.6435
Lindenstraße in Höhe von Haus-Nr. 16	Lindenstraße 16	Lindenstraße 16, Moers, Deutschland	51.4567	6.64586
Lindenstraße in Höhe von Haus-Nr. 20	Lindenstraße 20	Lindenstraße 20, Moers, Deutschland	51.45731	6.64572
Lindenstraße in Höhe von Haus-Nr. 34	Lindenstraße 34	Lindenstraße 34, Moers, Deutschland	51.11284	9.60492
Lindenstraße in Höhe von Haus-Nr. 37	Lindenstraße 37	Lindenstraße 37, Moers, Deutschland	51.45905	6.64591
Lindenstraße in Höhe von Haus-Nr. 41	Lindenstraße 41	Lindenstraße 41, Moers, Deutschland	51.45929	6.64587
Lindenstraße in Höhe von Haus-Nr. 66	Lindenstraße 66	Lindenstraße 66, Moers, Deutschland	51.46081	6.6448
Lindenstraße in Höhe von Haus-Nr. 70	Lindenstraße 70	Lindenstraße 70, Moers, Deutschland	51.46097	6.64465
Lindenstraße in Höhe von Haus-Nr. 74	Lindenstraße 74	Lindenstraße 74, Moers, Deutschland	51.46112	6.64449
Lindenstraße in Höhe von Haus-Nr. 78	Lindenstraße 78	Lindenstraße 78, Moers, Deutschland	51.46124	6.64441
Lindenstraße in Höhe von Haus-Nr. 80	Lindenstraße 80	Lindenstraße 80, Moers, Deutschland	51.46128	6.64438
Lindenstraße in Höhe von Haus-Nr. 82	Lindenstraße 82	Lindenstraße 82, Moers, Deutschland	51.46141	6.64437
Lindenstraße in Höhe von Haus-Nr. 88	Lindenstraße 88	Lindenstraße 88, Moers, Deutschland	51.46165	6.64426
Lindenstraße in Höhe von Haus-Nr. 92	Lindenstraße 92	Lindenstraße 92, Moers, Deutschland	51.46181	6.64416
Lindenstraße in Höhe von Haus-Nr. 94	Lindenstraße 94	Lindenstraße 94, Moers, Deutschland	51.46186	6.64412
Lindenstraße in Höhe von Haus-Nr. 98	Lindenstraße 98	Lindenstraße 98, Moers, Deutschland	51.46197	6.64405
Lindenstraße in Höhe von Haus-Nr. Apotheke	Lindenstraße Apotheke	Lindenstraße Apotheke, Moers, Deutschland	51.46014	6.64523
Lindenstraße in Höhe von Haus-Nr., Friedhof	Lindenstraße, Friedhof	Lindenstraße, Friedhof, Moers, Deutschland	51.41934	6.59756
Lindenstraße, Apotheke	Lindenstraße, Apotheke	Lindenstraße, Apotheke, Moers, Deutschland	51.46014	6.64523
Lindenstraße, Ecke Bismarckstr.	Lindenstraße, Ecke Bismarckstr.	Lindenstraße, Ecke Bismarckstr., Moers, Deutschland	51.46014	6.64523
Lindenstraße, Ecke Marienburger Str.	Lindenstraße, Ecke Marienburger Str.	Lindenstraße, Ecke Marienburger Str., Moers, Deutschland	51.46014	6.64523
Lindenstraße, Friedhof	Lindenstraße, Friedhof	Lindenstraße, Friedhof, Moers, Deutschland	51.41934	6.59756
Lindenstraße, Parkplatz	Lindenstraße, Parkplatz	Lindenstraße, Parkplatz, Moers, Deutschland	51.46014	6.64523
Lindenstraße, Parkplatz Markt	Lindenstraße, Parkplatz Markt	Lindenstraße, Parkplatz Markt, Moers, Deutschland	51.47138	6.62688
Linnbruchweg ggü. Haus-Nr. 12	Linnbruchweg 12	Linnbruchweg 12, Moers, Deutschland	51.41937	6.59403
Lintforter Straße	Lintforter Straße	Lintforter Straße, Moers, Deutschland	51.48989	6.598
Lintforter Straße 101	Lintforter Straße 101	Lintforter Straße 101, Moers, Deutschland	51.49004	6.60277
Lintforter Straße 106	Lintforter Straße 106	Lintforter Straße 106, Moers, Deutschland	51.48968	6.60348
Lintforter Straße 109	Lintforter Straße 109	Lintforter Straße 109, Moers, Deutschland	51.49009	6.60385
Lintforter Straße 110	Lintforter Straße 110	Lintforter Straße 110, Moers, Deutschland	51.48968	6.60357
Lintforter Straße 111	Lintforter Straße 111	Lintforter Straße 111, Moers, Deutschland	51.4901	6.60444
Lintforter Straße 112a	Lintforter Straße 112a	Lintforter Straße 112a, Moers, Deutschland	51.48967	6.60382
Lintforter Straße 112e	Lintforter Straße 112e	Lintforter Straße 112e, Moers, Deutschland	51.48967	6.60382
Lintforter Straße 112e, Döner24	Lintforter Straße 112e, Döner24	Lintforter Straße 112e, Döner24, Moers, Deutschland	51.48967	6.60382
Lintforter Straße 112f	Lintforter Straße 112f	Lintforter Straße 112f, Moers, Deutschland	51.48967	6.60382
Lintforter Straße 112f, Döner24	Lintforter Straße 112f, Döner24	Lintforter Straße 112f, Döner24, Moers, Deutschland	51.48967	6.60382
Lintforter Straße 113	Lintforter Straße 113	Lintforter Straße 113, Moers, Deutschland	51.49021	6.60499
Lintforter Straße 114	Lintforter Straße 114	Lintforter Straße 114, Moers, Deutschland	51.48979	6.60449
Lintforter Straße 114c, Basista	Lintforter Straße 114c, Basista	Lintforter Straße 114c, Basista, Moers, Deutschland	51.48979	6.60449
Lintforter Straße 114d	Lintforter Straße 114d	Lintforter Straße 114d, Moers, Deutschland	51.48979	6.60449
Lintforter Straße 114e, Basista	Lintforter Straße 114e, Basista	Lintforter Straße 114e, Basista, Moers, Deutschland	51.48979	6.60449
Lintforter Straße 120	Lintforter Straße 120	Lintforter Straße 120, Moers, Deutschland	51.48989	6.598
Lintforter Straße 128	Lintforter Straße 128	Lintforter Straße 128, Moers, Deutschland	51.4898	6.60658
Lintforter Straße 13	Lintforter Straße 13	Lintforter Straße 13, Moers, Deutschland	51.48939	6.58957
Lintforter Straße 131	Lintforter Straße 131	Lintforter Straße 131, Moers, Deutschland	51.48985	6.60719
Lintforter Straße 17	Lintforter Straße 17	Lintforter Straße 17, Moers, Deutschland	51.48948	6.59033
Lintforter Straße 18	Lintforter Straße 18	Lintforter Straße 18, Moers, Deutschland	51.48926	6.59015
Lintforter Straße 19	Lintforter Straße 19	Lintforter Straße 19, Moers, Deutschland	51.48952	6.59067
Lintforter Straße 22	Lintforter Straße 22	Lintforter Straße 22, Moers, Deutschland	51.48933	6.59075
Lintforter Straße 22, Ecke Heinestr.	Lintforter Straße 22, Ecke Heinestr.	Lintforter Straße 22, Ecke Heinestr., Moers, Deutschland	51.48764	6.59115
Lintforter Straße 23	Lintforter Straße 23	Lintforter Straße 23, Moers, Deutschland	51.48957	6.59103
Lintforter Straße 29	Lintforter Straße 29	Lintforter Straße 29, Moers, Deutschland	51.48965	6.59175
Lintforter Straße 33	Lintforter Straße 33	Lintforter Straße 33, Moers, Deutschland	51.48972	6.59234
Lintforter Straße 39	Lintforter Straße 39	Lintforter Straße 39, Moers, Deutschland	51.4898	6.59299
Lintforter Straße 4-6, Pavillon	Lintforter Straße 4-6, Pavillon	Lintforter Straße 4-6, Pavillon, Moers, Deutschland	51.48906	6.58852
Lintforter Straße 57	Lintforter Straße 57	Lintforter Straße 57, Moers, Deutschland	51.49003	6.59489
Lintforter Straße 73	Lintforter Straße 73	Lintforter Straße 73, Moers, Deutschland	51.49038	6.59807
Lintforter Straße 75	Lintforter Straße 75	Lintforter Straße 75, Moers, Deutschland	51.49038	6.59821
Lintforter Straße 75f g	Lintforter Straße 75f g	Lintforter Straße 75f g, Moers, Deutschland	51.49054	6.59904
Lintforter Straße 76	Lintforter Straße 76	Lintforter Straße 76, Moers, Deutschland	51.49015	6.59914
Lintforter Straße 77	Lintforter Straße 77	Lintforter Straße 77, Moers, Deutschland	51.49038	6.59889
Lintforter Straße 78	Lintforter Straße 78	Lintforter Straße 78, Moers, Deutschland	51.49014	6.59927
Lintforter Straße 80	Lintforter Straße 80	Lintforter Straße 80, Moers, Deutschland	51.49011	6.59956
Lintforter Straße 81	Lintforter Straße 81	Lintforter Straße 81, Moers, Deutschland	51.49039	6.59953
Lintforter Straße 81, Ausfahrt Hinterbebauung	Lintforter Straße 81, Ausfahrt Hinterbebauung	Lintforter Straße 81, Ausfahrt Hinterbebauung, Moers, Deutschland	51.49039	6.59953
