tatort	tatort_cleaned	tatort_coding	lat	lon
Altmarkt ggü. Haus-Nr. 1	Altmarkt 1	Altmarkt 1, Moers, Deutschland	51.45182	6.62651
Altmarkt ggü. Haus-Nr. 2	Altmarkt 2	Altmarkt 2, Moers, Deutschland	51.45177	6.6266
Altmarkt ggü. Haus-Nr. 4	Altmarkt 4	Altmarkt 4, Moers, Deutschland	51.45164	6.62655
Altmarkt in Höhe von Haus-Nr. 1	Altmarkt 1	Altmarkt 1, Moers, Deutschland	51.45182	6.62651
Altmarkt in Höhe von Haus-Nr. 2	Altmarkt 2	Altmarkt 2, Moers, Deutschland	51.45177	6.6266
Altmarkt in Höhe von Haus-Nr. 4	Altmarkt 4	Altmarkt 4, Moers, Deutschland	51.45164	6.62655
Am Anger 24	Am Anger 24	Am Anger 24, Moers, Deutschland	51.47708	6.63336
Am Bahndamm	Am Bahndamm	Am Bahndamm, Moers, Deutschland	51.4492	6.64378
Am Bahndamm 1a	Am Bahndamm 1a	Am Bahndamm 1a, Moers, Deutschland	51.44946	6.64306
Am Bahndamm in Höhe von Haus-Nr.	Am Bahndamm	Am Bahndamm, Moers, Deutschland	51.4492	6.64378
Am Bahndamm in Höhe von Haus-Nr. 1a	Am Bahndamm 1a	Am Bahndamm 1a, Moers, Deutschland	51.44946	6.64306
Am Bahndamm neben Haus-Nr. 1a	Am Bahndamm 1a	Am Bahndamm 1a, Moers, Deutschland	51.44946	6.64306
Am Bahndamm, Ecke Essenbergerstr.Stromkasten	Am Bahndamm, Ecke Essenbergerstr.	Am Bahndamm, Ecke Essenbergerstr., Moers, Deutschland	51.4492	6.64378
Am Bahndamm, Ecke Homberger Str.	Am Bahndamm, Ecke Homberger Str.	Am Bahndamm, Ecke Homberger Str., Moers, Deutschland	51.45011	6.64291
Am Bendmannsfeld in Höhe von Haus-Nr. 34	Am Bendmannsfeld 34	Am Bendmannsfeld 34, Moers, Deutschland	51.42326	6.59869
Am Domacker 70	Am Domacker 70	Am Domacker 70, Moers, Deutschland	51.42708	6.66279
Am Domacker 89	Am Domacker 89	Am Domacker 89, Moers, Deutschland	51.42716	6.66336
Am Domacker ggü. Haus-Nr. 37	Am Domacker 37	Am Domacker 37, Moers, Deutschland	51.42667	6.66007
Am Fonderschen 4	Am Fonderschen 4	Am Fonderschen 4, Moers, Deutschland	51.44846	6.60453
Am Fünderich in Höhe von Haus-Nr., Getränkemarkt	Am Fünderich, Getränkemarkt	Am Fünderich, Getränkemarkt, Moers, Deutschland	51.46297	6.62952
Am Fünderich in Höhe von Haus-Nr., Kronen Quelle	Am Fünderich, Kronen Quelle	Am Fünderich, Kronen Quelle, Moers, Deutschland	51.46297	6.62952
Am Fünderich zwischen Haus-Nr., Kronen Quelle	Am Fünderich zwischen Haus-Nr., Kronen Quelle	Am Fünderich zwischen Haus-Nr., Kronen Quelle, Moers, Deutschland	51.46297	6.62952
Am Fünderich, Getränkemarkt	Am Fünderich, Getränkemarkt	Am Fünderich, Getränkemarkt, Moers, Deutschland	51.46297	6.62952
Am Fünderich, Kronen Quelle	Am Fünderich, Kronen Quelle	Am Fünderich, Kronen Quelle, Moers, Deutschland	51.46297	6.62952
Am Geldermannshof ggü. Haus-Nr. 155	Am Geldermannshof 155	Am Geldermannshof 155, Moers, Deutschland	51.44335	6.64956
Am Geldermannshof in Höhe von Haus-Nr. 155	Am Geldermannshof 155	Am Geldermannshof 155, Moers, Deutschland	51.44335	6.64956
Am Geldermannshof in Höhe von Haus-Nr. 67	Am Geldermannshof 67	Am Geldermannshof 67, Moers, Deutschland	51.44676	6.65114
Am Geldermannshof in Höhe von Haus-Nr. 86	Am Geldermannshof 86	Am Geldermannshof 86, Moers, Deutschland	51.44545	6.65072
Am Geldermannshof, Ecke Davidstr.	Am Geldermannshof, Ecke Davidstr.	Am Geldermannshof, Ecke Davidstr., Moers, Deutschland	51.44563	6.65076
Am Geldermannshof, Ecke Essenberger Str.	Am Geldermannshof, Ecke Essenberger Str.	Am Geldermannshof, Ecke Essenberger Str., Moers, Deutschland	51.44563	6.65076
Am Heiligen Berg	Am Heiligen Berg	Am Heiligen Berg, Moers, Deutschland	50.74289	8.47681
Am Jostenhof ggü. Haus-Nr. 15	Am Jostenhof 15	Am Jostenhof 15, Moers, Deutschland	51.45351	6.60773
Am Jostenhof ggü. Haus-Nr. 8	Am Jostenhof 8	Am Jostenhof 8, Moers, Deutschland	51.45303	6.60867
